FinancialYear,HBT2014,HBT2014QF,ICD10Codes,ICD10CodesQF,DischargeCount,DischargeRates,DischargeRatesQF,PatientsCount,PatientsRates,PatientRatesQF,HospitalResidentsCount,HospitalResidentsRates,HospitalResidentsRatesQF
2002/03,S08000018, ,F10 - F19, ,260,74.13, ,180,51.32, ,10,2.85, 
2002/03,S08000018, ,F30 - F39, ,490,139.7, ,310,88.38, ,40,11.4, 
2002/03,S08000018, ,F40 - F49, ,200,57.02, ,140,39.92, ,10,2.85, 
2002/03,S08000018, ,F00 - F09 or Chapter G and second position F00, ,230,65.58, ,190,54.17, ,140,39.92, 
2002/03,S08000018, ,Non F Codes, ,70,19.96, ,50,14.26, ,30,8.55, 
2002/03,S08000018, ,"F50 - F59, F70 - F99", ,20,5.7, ,10,2.85, ,0,0, 
2002/03,S08000018, ,F20 - F29, ,480,136.85, ,290,82.68, ,100,28.51, 
2002/03,S08000019, ,All Codes,d,1320,470.25, ,920,327.75, ,310,110.44, 
2002/03,S08000019, ,F60 - F69, ,100,35.63, ,50,17.81, ,10,3.56, 
2002/03,S08000019, ,F10 - F19, ,180,64.13, ,130,46.31, ,10,3.56, 
2002/03,S08000019, ,F30 - F39, ,380,135.38, ,290,103.31, ,60,21.38, 
2002/03,S08000019, ,F40 - F49, ,100,35.63, ,80,28.5, ,0,0, 
2002/03,S08000019, ,F00 - F09 or Chapter G and second position F00, ,190,67.69, ,140,49.88, ,100,35.63, 
2002/03,S08000019, ,Non F Codes, ,40,14.25, ,30,10.69, ,10,3.56, 
2002/03,S08000019, ,"F50 - F59, F70 - F99", ,10,3.56, ,10,3.56, ,0,0, 
2002/03,S08000019, ,F20 - F29, ,310,110.44, ,200,71.25, ,120,42.75, 
2002/03,S08000020, ,All Codes,d,2350,445.75, ,1640,311.08, ,520,98.63, 
2002/03,S08000020, ,F60 - F69, ,70,13.28, ,50,9.48, ,10,1.9, 
2002/03,S08000020, ,F10 - F19, ,220,41.73, ,160,30.35, ,20,3.79, 
2002/03,S08000020, ,F30 - F39, ,730,138.47, ,520,98.63, ,80,15.17, 
2002/03,S08000020, ,F40 - F49, ,170,32.25, ,130,24.66, ,10,1.9, 
2002/03,S08000020, ,F00 - F09 or Chapter G and second position F00, ,380,72.08, ,300,56.9, ,260,49.32, 
2002/03,S08000020, ,Non F Codes, ,110,20.86, ,70,13.28, ,30,5.69, 
2002/03,S08000020, ,"F50 - F59, F70 - F99", ,10,1.9, ,10,1.9, ,0,0, 
2002/03,S08000020, ,F20 - F29, ,660,125.19, ,400,75.87, ,130,24.66, 
2002/03,S08000021, ,All Codes,d,7320,651.94, ,5220,464.91, ,1700,151.41, 
2002/03,S08000021, ,F60 - F69, ,270,24.05, ,170,15.14, ,30,2.67, 
2002/03,S08000021, ,F10 - F19, ,1440,128.25, ,1030,91.73, ,130,11.58, 
2002/03,S08000021, ,F30 - F39, ,2220,197.72, ,1620,144.28, ,300,26.72, 
2002/03,S08000021, ,F40 - F49, ,330,29.39, ,230,20.48, ,20,1.78, 
2002/03,S08000021, ,F00 - F09 or Chapter G and second position F00, ,860,76.59, ,690,61.45, ,540,48.09, 
2002/03,S08000021, ,Non F Codes, ,370,32.95, ,280,24.94, ,140,12.47, 
2002/03,S08000021, ,"F50 - F59, F70 - F99", ,100,8.91, ,70,6.23, ,30,2.67, 
2002/03,S08000021, ,F20 - F29, ,1730,154.08, ,1140,101.53, ,510,45.42, 
2002/03,S08000022, ,All Codes,d,2000,664.94, ,1420,472.11, ,310,103.07, 
2002/03,S08000022, ,F60 - F69, ,80,26.6, ,50,16.62, ,0,0, 
2002/03,S08000022, ,F10 - F19, ,590,196.16, ,460,152.94, ,30,9.97, 
2002/03,S08000022, ,F30 - F39, ,440,146.29, ,330,109.71, ,50,16.62, 
2002/03,S08000022, ,F40 - F49, ,180,59.84, ,130,43.22, ,10,3.32, 
2002/03,S08000022, ,F00 - F09 or Chapter G and second position F00, ,280,93.09, ,150,49.87, ,100,33.25, 
2002/03,S08000022, ,Non F Codes, ,100,33.25, ,60,19.95, ,20,6.65, 
2002/03,S08000022, ,"F50 - F59, F70 - F99", ,10,3.32, ,10,3.32, ,0,0, 
2002/03,S08000022, ,F20 - F29, ,320,106.39, ,230,76.47, ,100,33.25, 
2002/03,S08000023, ,All Codes,d,3010,481.37, ,2140,342.24, ,570,91.16, 
2002/03,S08000023, ,F60 - F69, ,80,12.79, ,50,8, ,10,1.6, 
2002/03,S08000023, ,F10 - F19, ,470,75.16, ,370,59.17, ,40,6.4, 
2002/03,S08000023, ,F30 - F39, ,1000,159.92, ,720,115.14, ,80,12.79, 
2002/03,S08000023, ,F40 - F49, ,160,25.59, ,120,19.19, ,10,1.6, 
2002/03,S08000023, ,F00 - F09 or Chapter G and second position F00, ,480,76.76, ,340,54.37, ,250,39.98, 
2002/03,S08000023, ,Non F Codes, ,60,9.6, ,50,8, ,20,3.2, 
2002/03,S08000023, ,"F50 - F59, F70 - F99", ,20,3.2, ,10,1.6, ,0,0, 
2002/03,S08000023, ,F20 - F29, ,740,118.34, ,470,75.16, ,150,23.99, 
2002/03,S08000024, ,All Codes,d,5130,657.88, ,3330,427.04, ,870,111.57, 
2002/03,S08000024, ,F60 - F69, ,200,25.65, ,120,15.39, ,20,2.56, 
2002/03,S08000024, ,F10 - F19, ,790,101.31, ,570,73.1, ,50,6.41, 
2002/03,S08000024, ,F30 - F39, ,1390,178.26, ,940,120.55, ,150,19.24, 
2002/03,S08000024, ,F40 - F49, ,250,32.06, ,190,24.37, ,10,1.28, 
2002/03,S08000024, ,F00 - F09 or Chapter G and second position F00, ,1210,155.17, ,720,92.33, ,330,42.32, 
2002/03,S08000024, ,Non F Codes, ,100,12.82, ,60,7.69, ,20,2.56, 
2002/03,S08000024, ,"F50 - F59, F70 - F99", ,40,5.13, ,30,3.85, ,20,2.56, 
2002/03,S08000024, ,F20 - F29, ,1170,150.04, ,700,89.77, ,260,33.34, 
2002/03,S08000027, ,All Codes,d,2350,605.19, ,1680,432.64, ,500,128.76, 
2002/03,S08000027, ,F60 - F69, ,90,23.18, ,50,12.88, ,10,2.58, 
2002/03,S08000027, ,F10 - F19, ,450,115.89, ,320,82.41, ,20,5.15, 
2002/03,S08000027, ,F30 - F39, ,640,164.82, ,460,118.46, ,70,18.03, 
2002/03,S08000027, ,F40 - F49, ,140,36.05, ,110,28.33, ,10,2.58, 
2002/03,S08000027, ,F00 - F09 or Chapter G and second position F00, ,420,108.16, ,350,90.13, ,200,51.51, 
2002/03,S08000027, ,Non F Codes, ,60,15.45, ,40,10.3, ,30,7.73, 
2002/03,S08000027, ,"F50 - F59, F70 - F99", ,20,5.15, ,20,5.15, ,0,0, 
2002/03,S08000027, ,F20 - F29, ,540,139.06, ,350,90.13, ,150,38.63, 
2002/03,S08000028, ,All Codes,d,180,683.11, ,100,379.51, ,40,151.8, 
2002/03,S08000028, ,F60 - F69, ,0,0, ,0,0, ,0,0, 
2002/03,S08000028, ,F10 - F19, ,0,0, ,0,0, ,0,0, 
2002/03,S08000028, ,F30 - F39, ,60,227.7, ,40,151.8, ,0,0, 
2002/03,S08000028, ,F40 - F49, ,10,37.95, ,0,0, ,0,0, 
2002/03,S08000028, ,F00 - F09 or Chapter G and second position F00, ,50,189.75, ,20,75.9, ,20,75.9, 
2002/03,S08000028, ,Non F Codes, ,30,113.85, ,10,37.95, ,0,0, 
2002/03,S08000028, ,"F50 - F59, F70 - F99", ,0,0, ,0,0, ,0,0, 
2002/03,S08000028, ,F20 - F29, ,20,75.9, ,10,37.95, ,0,0, 
2002/03,S92000003,d,All Codes,d,29360,579.55, ,19920,393.21, ,5990,118.24, 
2002/03,S92000003,d,F60 - F69, ,1220,24.08, ,690,13.62, ,130,2.57, 
2002/03,S92000003,d,F10 - F19, ,5080,100.28, ,3640,71.85, ,370,7.3, 
2002/03,S92000003,d,F30 - F39, ,8280,163.44, ,5750,113.5, ,930,18.36, 
2002/03,S92000003,d,F40 - F49, ,1810,35.73, ,1310,25.86, ,100,1.97, 
2002/03,S92000003,d,F00 - F09 or Chapter G and second position F00, ,4770,94.16, ,3370,66.52, ,2190,43.23, 
2002/03,S92000003,d,Non F Codes, ,1050,20.73, ,710,14.02, ,380,7.5, 
2002/03,S92000003,d,"F50 - F59, F70 - F99", ,280,5.53, ,210,4.15, ,120,2.37, 
2002/03,S92000003,d,F20 - F29, ,6880,135.81, ,4240,83.7, ,1780,35.14, 
2002/03,SB0802, ,All Codes,d,260, ,:,170, ,:,240, ,:
2002/03,SB0802, ,F60 - F69, ,10, ,:,10, ,:,20, ,:
2002/03,SB0802, ,F10 - F19, ,10, ,:,0, ,:,0, ,:
2002/03,SB0802, ,F30 - F39, ,10, ,:,10, ,:,10, ,:
2002/03,SB0802, ,F40 - F49, ,0, ,:,0, ,:,0, ,:
2002/03,SB0802, ,F00 - F09 or Chapter G and second position F00, ,0, ,:,0, ,:,0, ,:
2002/03,SB0802, ,Non F Codes, ,0, ,:,0, ,:,10, ,:
2002/03,SB0802, ,"F50 - F59, F70 - F99", ,10, ,:,10, ,:,30, ,:
2002/03,SB0802, ,F20 - F29, ,210, ,:,130, ,:,160, ,:
2003/04,S08000015, ,All Codes,d,2040,554.77, ,1440,391.6, ,360,97.9, 
2003/04,S08000015, ,F60 - F69, ,100,27.19, ,60,16.32, ,10,2.72, 
2003/04,S08000015, ,F10 - F19, ,500,135.97, ,340,92.46, ,30,8.16, 
2003/04,S08000015, ,F30 - F39, ,540,146.85, ,380,103.34, ,50,13.6, 
2003/04,S08000015, ,F40 - F49, ,190,51.67, ,150,40.79, ,10,2.72, 
2003/04,S08000015, ,F00 - F09 or Chapter G and second position F00, ,280,76.14, ,220,59.83, ,130,35.35, 
2003/04,S08000015, ,Non F Codes, ,20,5.44, ,20,5.44, ,20,5.44, 
2003/04,S08000015, ,"F50 - F59, F70 - F99", ,20,5.44, ,20,5.44, ,20,5.44, 
2003/04,S08000015, ,F20 - F29, ,400,108.78, ,260,70.71, ,100,27.19, 
2003/04,S08000016, ,All Codes,d,760,701.11, ,480,442.8, ,120,110.7, 
2003/04,S08000016, ,F60 - F69, ,40,36.9, ,20,18.45, ,0,0, 
2003/04,S08000016, ,F10 - F19, ,80,73.8, ,70,64.58, ,0,0, 
2003/04,S08000016, ,F30 - F39, ,200,184.5, ,140,129.15, ,20,18.45, 
2003/04,S08000016, ,F40 - F49, ,40,36.9, ,30,27.68, ,0,0, 
2003/04,S08000016, ,F00 - F09 or Chapter G and second position F00, ,180,166.05, ,130,119.93, ,60,55.35, 
2003/04,S08000016, ,Non F Codes, ,20,18.45, ,10,9.23, ,0,0, 
2003/04,S08000016, ,"F50 - F59, F70 - F99", ,0,0, ,0,0, ,0,0, 
2003/04,S08000016, ,F20 - F29, ,180,166.05, ,80,73.8, ,20,18.45, 
2003/04,S08000017, ,All Codes,d,790,534.29, ,550,371.97, ,120,81.16, 
2003/04,S08000017, ,F60 - F69, ,90,60.87, ,40,27.05, ,0,0, 
2003/04,S08000017, ,F10 - F19, ,120,81.16, ,90,60.87, ,0,0, 
2003/04,S08000017, ,F30 - F39, ,210,142.03, ,150,101.45, ,20,13.53, 
2003/04,S08000017, ,F40 - F49, ,70,47.34, ,50,33.82, ,0,0, 
2003/04,S08000017, ,F00 - F09 or Chapter G and second position F00, ,140,94.68, ,120,81.16, ,50,33.82, 
2003/04,S08000017, ,Non F Codes, ,10,6.76, ,10,6.76, ,0,0, 
2003/04,S08000017, ,"F50 - F59, F70 - F99", ,10,6.76, ,10,6.76, ,0,0, 
2003/04,S08000017, ,F20 - F29, ,140,94.68, ,80,54.11, ,40,27.05, 
2003/04,S08000018, ,All Codes,d,1750,498.08, ,1190,338.69, ,370,105.31, 
2003/04,S08000018, ,F60 - F69, ,150,42.69, ,80,22.77, ,10,2.85, 
2003/04,S08000018, ,F10 - F19, ,270,76.85, ,190,54.08, ,10,2.85, 
2003/04,S08000018, ,F30 - F39, ,500,142.31, ,330,93.92, ,60,17.08, 
2003/04,S08000018, ,F40 - F49, ,140,39.85, ,120,34.15, ,10,2.85, 
2003/04,S08000018, ,F00 - F09 or Chapter G and second position F00, ,190,54.08, ,160,45.54, ,150,42.69, 
2003/04,S08000018, ,Non F Codes, ,60,17.08, ,50,14.23, ,30,8.54, 
2003/04,S08000018, ,"F50 - F59, F70 - F99", ,20,5.69, ,20,5.69, ,0,0, 
2003/04,S08000018, ,F20 - F29, ,410,116.69, ,250,71.15, ,100,28.46, 
2003/04,S08000019, ,All Codes,d,1380,489.31, ,920,326.21, ,290,102.83, 
2003/04,S08000019, ,F60 - F69, ,70,24.82, ,30,10.64, ,10,3.55, 
2003/04,S08000019, ,F10 - F19, ,180,63.82, ,120,42.55, ,10,3.55, 
2003/04,S08000019, ,F30 - F39, ,390,138.28, ,270,95.73, ,50,17.73, 
2003/04,S08000019, ,F40 - F49, ,100,35.46, ,80,28.37, ,0,0, 
2003/04,S08000019, ,F00 - F09 or Chapter G and second position F00, ,230,81.55, ,180,63.82, ,100,35.46, 
2003/04,S08000019, ,Non F Codes, ,40,14.18, ,20,7.09, ,10,3.55, 
2003/04,S08000019, ,"F50 - F59, F70 - F99", ,20,7.09, ,10,3.55, ,0,0, 
2003/04,S08000019, ,F20 - F29, ,350,124.1, ,200,70.91, ,100,35.46, 
2003/04,S08000020, ,All Codes,d,2420,457.16, ,1660,313.59, ,480,90.68, 
2003/04,S08000020, ,F60 - F69, ,60,11.33, ,40,7.56, ,0,0, 
2003/04,S08000020, ,F10 - F19, ,180,34, ,140,26.45, ,10,1.89, 
2003/04,S08000020, ,F30 - F39, ,850,160.57, ,620,117.12, ,80,15.11, 
2003/04,S08000020, ,F40 - F49, ,120,22.67, ,100,18.89, ,10,1.89, 
2003/04,S08000020, ,F00 - F09 or Chapter G and second position F00, ,360,68.01, ,310,58.56, ,240,45.34, 
2003/04,S08000020, ,Non F Codes, ,100,18.89, ,60,11.33, ,30,5.67, 
2003/04,S08000020, ,"F50 - F59, F70 - F99", ,20,3.78, ,20,3.78, ,0,0, 
2003/04,S08000020, ,F20 - F29, ,730,137.9, ,380,71.78, ,110,20.78, 
2003/04,S08000021, ,All Codes,d,7070,633.25, ,5080,455.01, ,1560,139.73, 
2003/04,S08000021, ,F60 - F69, ,280,25.08, ,150,13.44, ,20,1.79, 
2003/04,S08000021, ,F10 - F19, ,1370,122.71, ,1020,91.36, ,100,8.96, 
2003/04,S08000021, ,F30 - F39, ,2140,191.68, ,1560,139.73, ,260,23.29, 
2003/04,S08000021, ,F40 - F49, ,270,24.18, ,220,19.71, ,30,2.69, 
2003/04,S08000021, ,F00 - F09 or Chapter G and second position F00, ,750,67.18, ,610,54.64, ,480,42.99, 
2003/04,S08000021, ,Non F Codes, ,460,41.2, ,340,30.45, ,130,11.64, 
2003/04,S08000021, ,"F50 - F59, F70 - F99", ,90,8.06, ,60,5.37, ,30,2.69, 
2003/04,S08000021, ,F20 - F29, ,1710,153.16, ,1130,101.21, ,510,45.68, 
2003/04,S08000022, ,All Codes,d,1870,618.04, ,1400,462.7, ,290,95.85, 
2003/04,S08000022, ,F60 - F69, ,70,23.14, ,40,13.22, ,10,3.31, 
2003/04,S08000022, ,F10 - F19, ,450,148.73, ,380,125.59, ,30,9.92, 
2003/04,S08000022, ,F30 - F39, ,410,135.51, ,330,109.07, ,40,13.22, 
2003/04,S08000022, ,F40 - F49, ,170,56.19, ,130,42.97, ,20,6.61, 
2003/04,S08000022, ,F00 - F09 or Chapter G and second position F00, ,250,82.63, ,170,56.19, ,100,33.05, 
2003/04,S08000022, ,Non F Codes, ,160,52.88, ,90,29.75, ,20,6.61, 
2003/04,S08000022, ,"F50 - F59, F70 - F99", ,10,3.31, ,10,3.31, ,10,3.31, 
2003/04,S08000022, ,F20 - F29, ,350,115.68, ,260,85.93, ,80,26.44, 
2003/04,S08000023, ,All Codes,d,2880,459.2, ,2070,330.05, ,580,92.48, 
2003/04,S08000023, ,F60 - F69, ,60,9.57, ,40,6.38, ,10,1.59, 
2003/04,S08000023, ,F10 - F19, ,500,79.72, ,380,60.59, ,30,4.78, 
2003/04,S08000023, ,F30 - F39, ,920,146.69, ,660,105.23, ,100,15.94, 
2003/04,S08000023, ,F40 - F49, ,190,30.29, ,160,25.51, ,20,3.19, 
2003/04,S08000023, ,F00 - F09 or Chapter G and second position F00, ,420,66.97, ,300,47.83, ,240,38.27, 
2003/04,S08000023, ,Non F Codes, ,30,4.78, ,30,4.78, ,20,3.19, 
2003/04,S08000023, ,"F50 - F59, F70 - F99", ,40,6.38, ,30,4.78, ,0,0, 
2003/04,S08000023, ,F20 - F29, ,710,113.21, ,470,74.94, ,150,23.92, 
2003/04,S08000024, ,All Codes,d,4790,614.97, ,3230,414.69, ,880,112.98, 
2003/04,S08000024, ,F60 - F69, ,180,23.11, ,120,15.41, ,20,2.57, 
2003/04,S08000024, ,F10 - F19, ,740,95.01, ,580,74.46, ,40,5.14, 
2003/04,S08000024, ,F30 - F39, ,1260,161.77, ,880,112.98, ,150,19.26, 
2003/04,S08000024, ,F40 - F49, ,240,30.81, ,180,23.11, ,20,2.57, 
2003/04,S08000024, ,F00 - F09 or Chapter G and second position F00, ,1170,150.21, ,680,87.3, ,350,44.94, 
2003/04,S08000024, ,Non F Codes, ,120,15.41, ,70,8.99, ,30,3.85, 
2003/04,S08000024, ,"F50 - F59, F70 - F99", ,40,5.14, ,30,3.85, ,20,2.57, 
2003/04,S08000024, ,F20 - F29, ,1050,134.81, ,700,89.87, ,250,32.1, 
2003/04,S08000027, ,All Codes,d,2390,614.81, ,1710,439.88, ,490,126.05, 
2003/04,S08000027, ,F60 - F69, ,70,18.01, ,40,10.29, ,0,0, 
2003/04,S08000027, ,F10 - F19, ,470,120.9, ,320,82.32, ,20,5.14, 
2003/04,S08000027, ,F30 - F39, ,640,164.63, ,460,118.33, ,80,20.58, 
2003/04,S08000027, ,F40 - F49, ,160,41.16, ,120,30.87, ,10,2.57, 
2003/04,S08000027, ,F00 - F09 or Chapter G and second position F00, ,420,108.04, ,340,87.46, ,190,48.88, 
2003/04,S08000027, ,Non F Codes, ,70,18.01, ,50,12.86, ,30,7.72, 
2003/04,S08000027, ,"F50 - F59, F70 - F99", ,20,5.14, ,10,2.57, ,10,2.57, 
2003/04,S08000027, ,F20 - F29, ,540,138.91, ,360,92.61, ,150,38.59, 
2003/04,S08000028, ,All Codes,d,180,681.04, ,110,416.19, ,40,151.34, 
2003/04,S08000028, ,F60 - F69, ,0,0, ,0,0, ,0,0, 
2003/04,S08000028, ,F10 - F19, ,0,0, ,0,0, ,0,0, 
2003/04,S08000028, ,F30 - F39, ,60,227.01, ,40,151.34, ,10,37.84, 
2003/04,S08000028, ,F40 - F49, ,10,37.84, ,10,37.84, ,0,0, 
2003/04,S08000028, ,F00 - F09 or Chapter G and second position F00, ,60,227.01, ,30,113.51, ,20,75.67, 
2003/04,S08000028, ,Non F Codes, ,40,151.34, ,10,37.84, ,10,37.84, 
2003/04,S08000028, ,"F50 - F59, F70 - F99", ,0,0, ,0,0, ,0,0, 
2003/04,S08000028, ,F20 - F29, ,20,75.67, ,10,37.84, ,0,0, 
2003/04,S92000003,d,All Codes,d,28600,564.27, ,19570,386.11, ,5800,114.43, 
2003/04,S92000003,d,F60 - F69, ,1180,23.28, ,660,13.02, ,110,2.17, 
2003/04,S92000003,d,F10 - F19, ,4880,96.28, ,3560,70.24, ,280,5.52, 
2003/04,S92000003,d,F30 - F39, ,8140,160.6, ,5700,112.46, ,920,18.15, 
2003/04,S92000003,d,F40 - F49, ,1690,33.34, ,1300,25.65, ,130,2.56, 
2003/04,S92000003,d,F00 - F09 or Chapter G and second position F00, ,4460,87.99, ,3220,63.53, ,2100,41.43, 
2003/04,S92000003,d,Non F Codes, ,1140,22.49, ,770,15.19, ,390,7.69, 
2003/04,S92000003,d,"F50 - F59, F70 - F99", ,320,6.31, ,220,4.34, ,120,2.37, 
2003/04,S92000003,d,F20 - F29, ,6800,134.16, ,4150,81.88, ,1740,34.33, 
2003/04,SB0802, ,All Codes,d,280, ,:,160, ,:,230, ,:
2003/04,SB0802, ,F60 - F69, ,20, ,:,10, ,:,10, ,:
2003/04,SB0802, ,F10 - F19, ,0, ,:,0, ,:,0, ,:
2003/04,SB0802, ,F30 - F39, ,20, ,:,10, ,:,10, ,:
2003/04,SB0802, ,F40 - F49, ,0, ,:,0, ,:,0, ,:
2003/04,SB0802, ,F00 - F09 or Chapter G and second position F00, ,0, ,:,0, ,:,10, ,:
2003/04,SB0802, ,Non F Codes, ,10, ,:,0, ,:,10, ,:
2003/04,SB0802, ,"F50 - F59, F70 - F99", ,10, ,:,10, ,:,30, ,:
2003/04,SB0802, ,F20 - F29, ,220, ,:,120, ,:,160, ,:
2004/05,S08000015, ,All Codes,d,2060,558.95, ,1430,388.01, ,370,100.39, 
2004/05,S08000015, ,F60 - F69, ,110,29.85, ,50,13.57, ,20,5.43, 
2004/05,S08000015, ,F10 - F19, ,540,146.52, ,360,97.68, ,30,8.14, 
2004/05,S08000015, ,F30 - F39, ,500,135.67, ,350,94.97, ,50,13.57, 
2004/05,S08000015, ,F40 - F49, ,180,48.84, ,150,40.7, ,10,2.71, 
2004/05,S08000015, ,F00 - F09 or Chapter G and second position F00, ,290,78.69, ,210,56.98, ,140,37.99, 
2004/05,S08000015, ,Non F Codes, ,30,8.14, ,30,8.14, ,20,5.43, 
2004/05,S08000015, ,"F50 - F59, F70 - F99", ,20,5.43, ,10,2.71, ,10,2.71, 
2004/05,S08000015, ,F20 - F29, ,400,108.53, ,260,70.55, ,80,21.71, 
2004/05,S08000016, ,All Codes,d,780,712.59, ,500,456.79, ,110,100.49, 
2004/05,S08000016, ,F60 - F69, ,70,63.95, ,30,27.41, ,0,0, 
2004/05,S08000016, ,F10 - F19, ,100,91.36, ,70,63.95, ,0,0, 
2004/05,S08000016, ,F30 - F39, ,190,173.58, ,130,118.76, ,10,9.14, 
2004/05,S08000016, ,F40 - F49, ,50,45.68, ,40,36.54, ,0,0, 
2004/05,S08000016, ,F00 - F09 or Chapter G and second position F00, ,190,173.58, ,120,109.63, ,60,54.81, 
2004/05,S08000016, ,Non F Codes, ,10,9.14, ,0,0, ,0,0, 
2004/05,S08000016, ,"F50 - F59, F70 - F99", ,10,9.14, ,0,0, ,0,0, 
2004/05,S08000016, ,F20 - F29, ,160,146.17, ,80,73.09, ,30,27.41, 
2004/05,S08000017, ,All Codes,d,720,484.23, ,520,349.72, ,130,87.43, 
2004/05,S08000017, ,F60 - F69, ,100,67.25, ,50,33.63, ,10,6.73, 
2004/05,S08000017, ,F10 - F19, ,110,73.98, ,90,60.53, ,10,6.73, 
2004/05,S08000017, ,F30 - F39, ,180,121.06, ,130,87.43, ,20,13.45, 
2004/05,S08000017, ,F40 - F49, ,50,33.63, ,40,26.9, ,0,0, 
2004/05,S08000017, ,F00 - F09 or Chapter G and second position F00, ,110,73.98, ,100,67.25, ,50,33.63, 
2004/05,S08000017, ,Non F Codes, ,20,13.45, ,10,6.73, ,0,0, 
2004/05,S08000017, ,"F50 - F59, F70 - F99", ,10,6.73, ,0,0, ,0,0, 
2004/05,S08000017, ,F20 - F29, ,140,94.16, ,90,60.53, ,40,26.9, 
2004/05,S08000018, ,All Codes,d,1680,475.85, ,1170,331.4, ,350,99.14, 
2004/05,S08000018, ,F60 - F69, ,100,28.32, ,50,14.16, ,10,2.83, 
2004/05,S08000018, ,F10 - F19, ,240,67.98, ,180,50.98, ,10,2.83, 
2004/05,S08000018, ,F30 - F39, ,460,130.29, ,330,93.47, ,60,16.99, 
2004/05,S08000018, ,F40 - F49, ,170,48.15, ,130,36.82, ,10,2.83, 
2004/05,S08000018, ,F00 - F09 or Chapter G and second position F00, ,230,65.15, ,180,50.98, ,130,36.82, 
2004/05,S08000018, ,Non F Codes, ,80,22.66, ,60,16.99, ,40,11.33, 
2004/05,S08000018, ,"F50 - F59, F70 - F99", ,10,2.83, ,10,2.83, ,0,0, 
2004/05,S08000018, ,F20 - F29, ,380,107.63, ,240,67.98, ,90,25.49, 
2004/05,S08000019, ,All Codes,d,1400,493.17, ,950,334.65, ,280,98.63, 
2004/05,S08000019, ,F60 - F69, ,90,31.7, ,50,17.61, ,10,3.52, 
2004/05,S08000019, ,F10 - F19, ,210,73.97, ,160,56.36, ,10,3.52, 
2004/05,S08000019, ,F30 - F39, ,390,137.38, ,270,95.11, ,40,14.09, 
2004/05,S08000019, ,F40 - F49, ,100,35.23, ,70,24.66, ,0,0, 
2004/05,S08000019, ,F00 - F09 or Chapter G and second position F00, ,170,59.88, ,140,49.32, ,80,28.18, 
2004/05,S08000019, ,Non F Codes, ,40,14.09, ,40,14.09, ,20,7.05, 
2004/05,S08000019, ,"F50 - F59, F70 - F99", ,20,7.05, ,20,7.05, ,0,0, 
2004/05,S08000019, ,F20 - F29, ,380,133.86, ,210,73.97, ,100,35.23, 
2004/05,S08000020, ,All Codes,d,2180,409.86, ,1530,287.65, ,490,92.12, 
2004/05,S08000020, ,F60 - F69, ,80,15.04, ,50,9.4, ,0,0, 
2004/05,S08000020, ,F10 - F19, ,150,28.2, ,120,22.56, ,20,3.76, 
2004/05,S08000020, ,F30 - F39, ,770,144.77, ,580,109.05, ,80,15.04, 
2004/05,S08000020, ,F40 - F49, ,120,22.56, ,100,18.8, ,0,0, 
2004/05,S08000020, ,F00 - F09 or Chapter G and second position F00, ,290,54.52, ,260,48.88, ,230,43.24, 
2004/05,S08000020, ,Non F Codes, ,70,13.16, ,60,11.28, ,20,3.76, 
2004/05,S08000020, ,"F50 - F59, F70 - F99", ,20,3.76, ,20,3.76, ,0,0, 
2004/05,S08000020, ,F20 - F29, ,680,127.85, ,370,69.56, ,120,22.56, 
2004/05,S08000021, ,All Codes,d,6810,612.4, ,4860,437.04, ,1470,132.19, 
2004/05,S08000021, ,F60 - F69, ,270,24.28, ,150,13.49, ,20,1.8, 
2004/05,S08000021, ,F10 - F19, ,1280,115.11, ,1010,90.83, ,90,8.09, 
2004/05,S08000021, ,F30 - F39, ,1850,166.36, ,1350,121.4, ,240,21.58, 
2004/05,S08000021, ,F40 - F49, ,290,26.08, ,220,19.78, ,30,2.7, 
2004/05,S08000021, ,F00 - F09 or Chapter G and second position F00, ,740,66.55, ,560,50.36, ,440,39.57, 
2004/05,S08000021, ,Non F Codes, ,640,57.55, ,450,40.47, ,140,12.59, 
2004/05,S08000021, ,"F50 - F59, F70 - F99", ,100,8.99, ,80,7.19, ,30,2.7, 
2004/05,S08000021, ,F20 - F29, ,1620,145.68, ,1040,93.52, ,490,44.06, 
2004/05,S08000022, ,All Codes,d,1660,544.01, ,1240,406.37, ,300,98.32, 
2004/05,S08000022, ,F60 - F69, ,100,32.77, ,60,19.66, ,10,3.28, 
2004/05,S08000022, ,F10 - F19, ,320,104.87, ,250,81.93, ,20,6.55, 
2004/05,S08000022, ,F30 - F39, ,420,137.64, ,320,104.87, ,50,16.39, 
2004/05,S08000022, ,F40 - F49, ,150,49.16, ,120,39.33, ,10,3.28, 
2004/05,S08000022, ,F00 - F09 or Chapter G and second position F00, ,200,65.54, ,160,52.43, ,100,32.77, 
2004/05,S08000022, ,Non F Codes, ,120,39.33, ,70,22.94, ,20,6.55, 
2004/05,S08000022, ,"F50 - F59, F70 - F99", ,10,3.28, ,10,3.28, ,10,3.28, 
2004/05,S08000022, ,F20 - F29, ,340,111.42, ,250,81.93, ,80,26.22, 
2004/05,S08000023, ,All Codes,d,2910,461.12, ,2100,332.77, ,520,82.4, 
2004/05,S08000023, ,F60 - F69, ,80,12.68, ,50,7.92, ,10,1.58, 
2004/05,S08000023, ,F10 - F19, ,550,87.15, ,420,66.55, ,30,4.75, 
